param_idx,cadence,stride
0,0.4000,0.4000
1,0.4000,0.4476
2,0.4000,0.4952
3,0.4000,0.5429
4,0.4000,0.5905
5,0.4000,0.6381
6,0.4000,0.6857
7,0.4000,0.7333
8,0.4000,0.7810
9,0.4000,0.8286
10,0.4000,0.8762
11,0.4000,0.9238
12,0.4000,0.9714
13,0.4000,1.0190
14,0.4000,1.0667
15,0.4000,1.1143
16,0.4000,1.1619
17,0.4000,1.2095
18,0.4000,1.2571
19,0.4000,1.3048
20,0.4000,1.3524
21,0.4000,1.4000
22,0.4476,0.4000
23,0.4476,0.4476
24,0.4476,0.4952
25,0.4476,0.5429
26,0.4476,0.5905
27,0.4476,0.6381
28,0.4476,0.6857
29,0.4476,0.7333
30,0.4476,0.7810
31,0.4476,0.8286
32,0.4476,0.8762
33,0.4476,0.9238
34,0.4476,0.9714
35,0.4476,1.0190
36,0.4476,1.0667
37,0.4476,1.1143
38,0.4476,1.1619
39,0.4476,1.2095
40,0.4476,1.2571
41,0.4476,1.3048
42,0.4476,1.3524
43,0.4476,1.4000
44,0.4952,0.4000
45,0.4952,0.4476
46,0.4952,0.4952
47,0.4952,0.5429
48,0.4952,0.5905
49,0.4952,0.6381
50,0.4952,0.6857
51,0.4952,0.7333
52,0.4952,0.7810
53,0.4952,0.8286
54,0.4952,0.8762
55,0.4952,0.9238
56,0.4952,0.9714
57,0.4952,1.0190
58,0.4952,1.0667
59,0.4952,1.1143
60,0.4952,1.1619
61,0.4952,1.2095
62,0.4952,1.2571
63,0.4952,1.3048
64,0.4952,1.3524
65,0.4952,1.4000
66,0.5429,0.4000
67,0.5429,0.4476
68,0.5429,0.4952
69,0.5429,0.5429
70,0.5429,0.5905
71,0.5429,0.6381
72,0.5429,0.6857
73,0.5429,0.7333
74,0.5429,0.7810
75,0.5429,0.8286
76,0.5429,0.8762
77,0.5429,0.9238
78,0.5429,0.9714
79,0.5429,1.0190
80,0.5429,1.0667
81,0.5429,1.1143
82,0.5429,1.1619
83,0.5429,1.2095
84,0.5429,1.2571
85,0.5429,1.3048
86,0.5429,1.3524
87,0.5429,1.4000
88,0.5905,0.4000
89,0.5905,0.4476
90,0.5905,0.4952
91,0.5905,0.5429
92,0.5905,0.5905
93,0.5905,0.6381
94,0.5905,0.6857
95,0.5905,0.7333
96,0.5905,0.7810
97,0.5905,0.8286
98,0.5905,0.8762
99,0.5905,0.9238
100,0.5905,0.9714
101,0.5905,1.0190
102,0.5905,1.0667
103,0.5905,1.1143
104,0.5905,1.1619
105,0.5905,1.2095
106,0.5905,1.2571
107,0.5905,1.3048
108,0.5905,1.3524
109,0.5905,1.4000
110,0.6381,0.4000
111,0.6381,0.4476
112,0.6381,0.4952
113,0.6381,0.5429
114,0.6381,0.5905
115,0.6381,0.6381
116,0.6381,0.6857
117,0.6381,0.7333
118,0.6381,0.7810
119,0.6381,0.8286
120,0.6381,0.8762
121,0.6381,0.9238
122,0.6381,0.9714
123,0.6381,1.0190
124,0.6381,1.0667
125,0.6381,1.1143
126,0.6381,1.1619
127,0.6381,1.2095
128,0.6381,1.2571
129,0.6381,1.3048
130,0.6381,1.3524
131,0.6381,1.4000
132,0.6857,0.4000
133,0.6857,0.4476
134,0.6857,0.4952
135,0.6857,0.5429
136,0.6857,0.5905
137,0.6857,0.6381
138,0.6857,0.6857
139,0.6857,0.7333
140,0.6857,0.7810
141,0.6857,0.8286
142,0.6857,0.8762
143,0.6857,0.9238
144,0.6857,0.9714
145,0.6857,1.0190
146,0.6857,1.0667
147,0.6857,1.1143
148,0.6857,1.1619
149,0.6857,1.2095
150,0.6857,1.2571
151,0.6857,1.3048
152,0.6857,1.3524
153,0.6857,1.4000
154,0.7333,0.4000
155,0.7333,0.4476
156,0.7333,0.4952
157,0.7333,0.5429
158,0.7333,0.5905
159,0.7333,0.6381
160,0.7333,0.6857
161,0.7333,0.7333
162,0.7333,0.7810
163,0.7333,0.8286
164,0.7333,0.8762
165,0.7333,0.9238
166,0.7333,0.9714
167,0.7333,1.0190
168,0.7333,1.0667
169,0.7333,1.1143
170,0.7333,1.1619
171,0.7333,1.2095
172,0.7333,1.2571
173,0.7333,1.3048
174,0.7333,1.3524
175,0.7333,1.4000
176,0.7810,0.4000
177,0.7810,0.4476
178,0.7810,0.4952
179,0.7810,0.5429
180,0.7810,0.5905
181,0.7810,0.6381
182,0.7810,0.6857
183,0.7810,0.7333
184,0.7810,0.7810
185,0.7810,0.8286
186,0.7810,0.8762
187,0.7810,0.9238
188,0.7810,0.9714
189,0.7810,1.0190
190,0.7810,1.0667
191,0.7810,1.1143
192,0.7810,1.1619
193,0.7810,1.2095
194,0.7810,1.2571
195,0.7810,1.3048
196,0.7810,1.3524
197,0.7810,1.4000
198,0.8286,0.4000
199,0.8286,0.4476
200,0.8286,0.4952
201,0.8286,0.5429
202,0.8286,0.5905
203,0.8286,0.6381
204,0.8286,0.6857
205,0.8286,0.7333
206,0.8286,0.7810
207,0.8286,0.8286
208,0.8286,0.8762
209,0.8286,0.9238
210,0.8286,0.9714
211,0.8286,1.0190
212,0.8286,1.0667
213,0.8286,1.1143
214,0.8286,1.1619
215,0.8286,1.2095
216,0.8286,1.2571
217,0.8286,1.3048
218,0.8286,1.3524
219,0.8286,1.4000
220,0.8762,0.4000
221,0.8762,0.4476
222,0.8762,0.4952
223,0.8762,0.5429
224,0.8762,0.5905
225,0.8762,0.6381
226,0.8762,0.6857
227,0.8762,0.7333
228,0.8762,0.7810
229,0.8762,0.8286
230,0.8762,0.8762
231,0.8762,0.9238
232,0.8762,0.9714
233,0.8762,1.0190
234,0.8762,1.0667
235,0.8762,1.1143
236,0.8762,1.1619
237,0.8762,1.2095
238,0.8762,1.2571
239,0.8762,1.3048
240,0.8762,1.3524
241,0.8762,1.4000
242,0.9238,0.4000
243,0.9238,0.4476
244,0.9238,0.4952
245,0.9238,0.5429
246,0.9238,0.5905
247,0.9238,0.6381
248,0.9238,0.6857
249,0.9238,0.7333
250,0.9238,0.7810
251,0.9238,0.8286
252,0.9238,0.8762
253,0.9238,0.9238
254,0.9238,0.9714
255,0.9238,1.0190
256,0.9238,1.0667
257,0.9238,1.1143
258,0.9238,1.1619
259,0.9238,1.2095
260,0.9238,1.2571
261,0.9238,1.3048
262,0.9238,1.3524
263,0.9238,1.4000
264,0.9714,0.4000
265,0.9714,0.4476
266,0.9714,0.4952
267,0.9714,0.5429
268,0.9714,0.5905
269,0.9714,0.6381
270,0.9714,0.6857
271,0.9714,0.7333
272,0.9714,0.7810
273,0.9714,0.8286
274,0.9714,0.8762
275,0.9714,0.9238
276,0.9714,0.9714
277,0.9714,1.0190
278,0.9714,1.0667
279,0.9714,1.1143
280,0.9714,1.1619
281,0.9714,1.2095
282,0.9714,1.2571
283,0.9714,1.3048
284,0.9714,1.3524
285,0.9714,1.4000
286,1.0190,0.4000
287,1.0190,0.4476
