param_idx,gait_stride,gait_cadence
0.0000,0.7500,0.7500
1.0000,0.7500,0.7857
2.0000,0.7500,0.8214
3.0000,0.7500,0.8571
4.0000,0.7500,0.8929
5.0000,0.7500,0.9286
6.0000,0.7500,0.9643
7.0000,0.7500,1.0000
8.0000,0.7500,1.0357
9.0000,0.7500,1.0714
10.0000,0.7500,1.1071
11.0000,0.7500,1.1429
12.0000,0.7500,1.1786
13.0000,0.7500,1.2143
14.0000,0.7500,1.2500
15.0000,0.7857,0.7500
16.0000,0.7857,0.7857
17.0000,0.7857,0.8214
18.0000,0.7857,0.8571
19.0000,0.7857,0.8929
20.0000,0.7857,0.9286
21.0000,0.7857,0.9643
22.0000,0.7857,1.0000
23.0000,0.7857,1.0357
24.0000,0.7857,1.0714
25.0000,0.7857,1.1071
26.0000,0.7857,1.1429
27.0000,0.7857,1.1786
28.0000,0.7857,1.2143
29.0000,0.7857,1.2500
30.0000,0.8214,0.7500
31.0000,0.8214,0.7857
32.0000,0.8214,0.8214
33.0000,0.8214,0.8571
34.0000,0.8214,0.8929
35.0000,0.8214,0.9286
36.0000,0.8214,0.9643
37.0000,0.8214,1.0000
38.0000,0.8214,1.0357
39.0000,0.8214,1.0714
40.0000,0.8214,1.1071
41.0000,0.8214,1.1429
42.0000,0.8214,1.1786
43.0000,0.8214,1.2143
44.0000,0.8214,1.2500
45.0000,0.8571,0.7500
46.0000,0.8571,0.7857
47.0000,0.8571,0.8214
48.0000,0.8571,0.8571
49.0000,0.8571,0.8929
50.0000,0.8571,0.9286
51.0000,0.8571,0.9643
52.0000,0.8571,1.0000
53.0000,0.8571,1.0357
54.0000,0.8571,1.0714
55.0000,0.8571,1.1071
56.0000,0.8571,1.1429
57.0000,0.8571,1.1786
58.0000,0.8571,1.2143
59.0000,0.8571,1.2500
60.0000,0.8929,0.7500
61.0000,0.8929,0.7857
62.0000,0.8929,0.8214
63.0000,0.8929,0.8571
64.0000,0.8929,0.8929
65.0000,0.8929,0.9286
66.0000,0.8929,0.9643
67.0000,0.8929,1.0000
68.0000,0.8929,1.0357
69.0000,0.8929,1.0714
70.0000,0.8929,1.1071
71.0000,0.8929,1.1429
72.0000,0.8929,1.1786
73.0000,0.8929,1.2143
74.0000,0.8929,1.2500
75.0000,0.9286,0.7500
76.0000,0.9286,0.7857
77.0000,0.9286,0.8214
78.0000,0.9286,0.8571
79.0000,0.9286,0.8929
80.0000,0.9286,0.9286
81.0000,0.9286,0.9643
82.0000,0.9286,1.0000
83.0000,0.9286,1.0357
84.0000,0.9286,1.0714
85.0000,0.9286,1.1071
86.0000,0.9286,1.1429
87.0000,0.9286,1.1786
88.0000,0.9286,1.2143
89.0000,0.9286,1.2500
90.0000,0.9643,0.7500
91.0000,0.9643,0.7857
92.0000,0.9643,0.8214
93.0000,0.9643,0.8571
94.0000,0.9643,0.8929
95.0000,0.9643,0.9286
96.0000,0.9643,0.9643
97.0000,0.9643,1.0000
98.0000,0.9643,1.0357
99.0000,0.9643,1.0714
100.0000,0.9643,1.1071
101.0000,0.9643,1.1429
102.0000,0.9643,1.1786
103.0000,0.9643,1.2143
104.0000,0.9643,1.2500
105.0000,1.0000,0.7500
106.0000,1.0000,0.7857
107.0000,1.0000,0.8214
108.0000,1.0000,0.8571
109.0000,1.0000,0.8929
110.0000,1.0000,0.9286
111.0000,1.0000,0.9643
112.0000,1.0000,1.0000
113.0000,1.0000,1.0357
114.0000,1.0000,1.0714
115.0000,1.0000,1.1071
116.0000,1.0000,1.1429
117.0000,1.0000,1.1786
118.0000,1.0000,1.2143
119.0000,1.0000,1.2500
120.0000,1.0357,0.7500
121.0000,1.0357,0.7857
122.0000,1.0357,0.8214
123.0000,1.0357,0.8571
124.0000,1.0357,0.8929
125.0000,1.0357,0.9286
126.0000,1.0357,0.9643
127.0000,1.0357,1.0000
128.0000,1.0357,1.0357
129.0000,1.0357,1.0714
130.0000,1.0357,1.1071
131.0000,1.0357,1.1429
132.0000,1.0357,1.1786
133.0000,1.0357,1.2143
134.0000,1.0357,1.2500
135.0000,1.0714,0.7500
136.0000,1.0714,0.7857
137.0000,1.0714,0.8214
138.0000,1.0714,0.8571
139.0000,1.0714,0.8929
140.0000,1.0714,0.9286
141.0000,1.0714,0.9643
